user_id,first_name,last_name,email,password_hash,user_role,icon_path
1,Grant,Fitch,grant@tastebuddies.com,tastebuddies,admin,images/profile_icons/grant.png
2,Colette,Woods,colette@tastebuddies.com,tastebuddies,admin,images/profile_icons/colette.png
3,Oronde',Brown,oronde@tastebuddies.com,tastebuddies,admin,images/profile_icons/oronde.png
4,Ashley,Barasebwa,ashley@tastebuddies.com,tastebuddies,admin,images/profile_icons/ashley.png
5,Ben,Nissley,ben@tastebuddies.com,tastebuddies,admin,images/profile_icons/ben.png
6,NATE,Donald,nate@tastebuddies.com,tastebuddies,admin,images/profile_icons/nate.png
7,Andrew,Miller,andrew@tastebuddies.com,tastebuddiesDatabaseIsAwesome,admin,images/profile_icons/andrew.png
8,Anthony,Bourdain,ABourdain@noreservations.com,tastebuddies,user,images/profile_icons/bourdain.png
9,Gordon,Ramsay,cheframsay@hellskitchen.com,tastebuddies,user,images/profile_icons/ramsay.png
10,Julia,Child,juliachild@isiconic.com,tastebuddies,user,images/profile_icons/julia.png
11,Kermit,Frog,kermit@the.frog,tastebuddies,user,images/profile_icons/kermit.png
12,Miss,Piggy,whomoi@piggy.com,tastebuddies,user,images/profile_icons/piggy.png
13,Fozzie,Bear,wakawaka@bad.joke,tastebuddies,user,images/profile_icons/fozzie.png
14,Swedish,Chef,borkbork@bork.bork,tastebuddies,user,images/profile_icons/swedish.png
15,Gonzo,The Great,gonzo@the.great,tastebuddies,user,images/profile_icons/gonzo.png
16,Rizzo,Rat,rizzo@the.rat,tastebuddies,user,images/profile_icons/rizzo.png
17,Sam,Eagle,professional@email.com,tastebuddies,user,images/profile_icons/sam.png
18,Bunsen,Honeydew,drbunsen@cern.org,tastebuddies,user,images/profile_icons/bunsen.png
19,Red,Fraggle,red@fraggle.rock,tastebuddies,user,images/profile_icons/red.png
20,Floyd,Pepper,floyd@electric.mayhem,tastebuddies,user,images/profile_icons/floyd.png
