userID,firstName,lastName,email,tasteBuddiesID,savedRestaurantsID,tasteProfileID,reviewID,savedDishesID,userRole
1,Grant,Fitch,grant@tastebuddies.com,2,1,1,1,1,admin
2,Colette,Woods,colette@tastebuddies.com,3,2,2,2,2,user
3,Oronde',Brown,oronde@tastebuddies.com,4,3,3,3,3,user
4,Ashley,Barasebwa,ashley@tastebuddies.com,5,4,4,4,4,user
5,Ben,Nissley,ben@tastebuddies.com,6,5,5,5,5,user
6,NATE,Donald,NATE@tastebuddies.com,7,6,6,6,6,user
7,Janek,Hannond,jhannond6@ca.gov,8,7,7,7,7,user
8,Garrott,Delacote,gdelacote7@drupal.org,9,8,8,8,8,user
9,Hershel,Matschke,hmatschke8@archive.org,10,9,9,9,9,user
10,Gertruda,Drake,gdrake9@woothemes.com,1,10,10,10,10,user
